"Id","Run Order","Capture Time","Reserved","Latitude","Latitude Date Modified UTC","Longitude","Longitude Date Modified UTC","Location Icon","Location Icon Date Modified UTC","ID","ID Date Modified UTC","Street","Street Date Modified UTC","Description","Description Date Modified UTC","Side of Street","Side of Street Date Modified UTC","Green Flashing","Green Flashing Date Modified UTC","Red Flashing","Red Flashing Date Modified UTC","ADA","ADA Date Modified UTC","Notes","Notes Date Modified UTC","Picture","Picture Date Modified UTC","COMPLETE","COMPLETE Date Modified UTC"
"ca8217d1","-1","2022-08-03T01:15:14.14Z","","39.7457177637221","","-104.997589635737","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.74601886283235 -104.99797050941663;39.745416664611845 -104.9972087620564"}","","","","","","","","","","4","2022-08-03T01:15:20.907Z","","","","","10am-4pm permitted vehicles only. 2hr other times","2022-08-03T01:15:14.14Z","","","",""
"f85f0b07","-1","2022-08-03T01:13:18.948Z","","39.7458476892634","","-104.996661591417","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.74542078927508 -104.99719803322034;39.74627458925169 -104.99612514961439"}","","","","","","","","","","4","2022-08-03T01:13:18.948Z","","","","","","","","","",""
"98cc0955","-1","2022-08-03T01:12:04.059Z","","39.7467633527946","","-104.99545727957","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.746348832227916 -104.9960017679997;39.74717787336124 -104.99491279113965"}","","","","","","","","","","5","2022-08-03T01:12:04.059Z","","","","","","","","","",""
"5e253495","-1","2022-08-03T01:10:58.679Z","","39.7467014840502","","-104.995360720045","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.74711188040265 -104.99482159603315;39.74629108769778 -104.99589984405713"}","","","","","","","","","","5","2022-08-03T01:11:16.944Z","1","2022-08-03T01:10:58.679Z","","","","","","","",""
"435974c2","-1","2022-08-03T01:10:09.893Z","","39.7457858197227","","-104.996556985266","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.74620447081181 -104.99601786125379;39.74536716863362 -104.99709610927778"}","","","","","","","","","","8","2022-08-03T01:10:10.625Z","2","2022-08-03T01:10:09.893Z","","","","","","","",""
"048438a4","-1","2022-08-03T01:09:12.93Z","","39.7450557549905","","-104.996715235598","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.74535066996629 -104.99709610927778;39.744760840014784 -104.99633436191755"}","","","","","","","","","","6","2022-08-03T01:09:03.19Z","","","","","2 permit bus","2022-08-03T01:09:12.93Z","","","",""
"64ff8e23","-1","2022-08-03T01:07:35.835Z","","39.7451918687433","","-104.995776462442","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.744760840014784 -104.99631826866346;39.74562289747173 -104.99523465622144"}","","","","","","","","","","6","2022-08-03T01:07:35.835Z","","","","","","","","","",""
"147bad7c","-1","2022-08-03T01:04:10.222Z","","39.7461178525576","","-104.994580197222","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.74570126579663 -104.99512200344282;39.746534439318474 -104.9940383910008"}","","","","","","","","","","8","2022-08-03T01:03:54.162Z","3","2022-08-03T01:04:10.222Z","","","","","","","",""
"845b916b","-1","2022-08-03T01:05:28.198Z","","39.7460353600552","","-104.994480955488","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.746456071941225 -104.99394183147626;39.745614648169195 -104.99502007950025"}","","","","","","","","","","4","2022-08-03T01:05:28.848Z","3","2022-08-03T01:05:28.198Z","","","","","","","",""
"dcaded8f","-1","2022-08-03T01:06:40.686Z","","39.745097001162","","-104.995671856291","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.74551978111895 -104.99513273227888;39.744674221205116 -104.99621098030286"}","","","","","","","","","","4","2022-08-03T01:06:54.785Z","2","2022-08-03T01:06:40.686Z","","","","","","","",""
