,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
108,12AM,10/12/2021,Cherry-12th,RPZ 2,36813,E JEFFERSON ST BETWEEN 17TH AVE AND 18TH AVE,N,4,0,0,2,0,0,,
127,1PM,10/12/2021,Cherry-12th,RPZ 2,36813,E JEFFERSON ST BETWEEN 17TH AVE AND 18TH AVE,N,1,0,0,3,0,0,,
146,2PM,10/12/2021,Cherry-12th,RPZ 2,36813,E JEFFERSON ST BETWEEN 17TH AVE AND 18TH AVE,N,3,0,0,2,0,0,,
165,3PM,10/12/2021,Cherry-12th,RPZ 2,36813,E JEFFERSON ST BETWEEN 17TH AVE AND 18TH AVE,N,2,0,0,1,0,0,,
184,4PM,10/12/2021,Cherry-12th,RPZ 2,36813,E JEFFERSON ST BETWEEN 17TH AVE AND 18TH AVE,N,1,0,0,1,0,0,,
203,5PM,10/12/2021,Cherry-12th,RPZ 2,36813,E JEFFERSON ST BETWEEN 17TH AVE AND 18TH AVE,N,0,0,0,1,0,0,,
32,6PM,10/12/2021,Cherry-12th,RPZ 2,36813,E JEFFERSON ST BETWEEN 17TH AVE AND 18TH AVE,N,0,0,0,0,0,0,,
51,7PM,10/12/2021,Cherry-12th,RPZ 2,36813,E JEFFERSON ST BETWEEN 17TH AVE AND 18TH AVE,N,0,0,0,0,0,0,,
15,09AM,10/12/2021,Cherry-12th,RPZ 2,36814,E JEFFERSON ST BETWEEN 17TH AVE AND 18TH AVE,S,6,0,0,1,0,0,,
72,10AM,10/12/2021,Cherry-12th,RPZ 2,36814,E JEFFERSON ST BETWEEN 17TH AVE AND 18TH AVE,S,5,0,0,1,0,0,,
91,11AM,10/12/2021,Cherry-12th,RPZ 2,36814,E JEFFERSON ST BETWEEN 17TH AVE AND 18TH AVE,S,3,0,0,3,0,0,,
