,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
61,10AM,10/8/2021,SLUNorth-East,NO RPZ,10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,W,10,0,0,0,0,0,,
115,11AM,10/8/2021,SLUNorth-East,NO RPZ,10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,W,8,0,0,1,0,0,,
169,12PM,10/8/2021,SLUNorth-East,NO RPZ,10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,W,7,0,0,1,0,0,,
223,1PM,10/8/2021,SLUNorth-East,NO RPZ,10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,W,4,0,0,0,0,0,,
277,2PM,10/8/2021,SLUNorth-East,NO RPZ,10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,W,4,0,0,0,0,0,,
331,3PM,10/8/2021,SLUNorth-East,NO RPZ,10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,W,0,0,0,3,0,1,,
385,4PM,10/8/2021,SLUNorth-East,NO RPZ,10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,W,0,0,0,0,0,0,,
439,5PM,10/8/2021,SLUNorth-East,NO RPZ,10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,W,0,0,0,0,0,0,,
15,09AM,10/8/2021,SLUNorth-East,NO RPZ,12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,11,0,0,0,0,1,also 2 sdot trucks w flashing lights,
69,10AM,10/8/2021,SLUNorth-East,NO RPZ,12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,11,0,0,0,0,1,also 2 sdot trucks,
123,11AM,10/8/2021,SLUNorth-East,NO RPZ,12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,10,0,0,0,0,1,also 2 sdot,
177,12PM,10/8/2021,SLUNorth-East,NO RPZ,12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,12,0,0,0,0,0,also 2 sdot,
231,1PM,10/8/2021,SLUNorth-East,NO RPZ,12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,10,0,0,0,0,0,two Sdot vehicles in no parking zone,
285,2PM,10/8/2021,SLUNorth-East,NO RPZ,12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,7,0,0,0,0,0,,
339,3PM,10/8/2021,SLUNorth-East,NO RPZ,12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,4,0,0,0,0,0,,
393,4PM,10/8/2021,SLUNorth-East,NO RPZ,12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,2,0,0,0,0,0,,
447,5PM,10/8/2021,SLUNorth-East,NO RPZ,12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,1,0,0,0,0,0,,
26,09AM,10/8/2021,SLUNorth-West,NO RPZ,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,6,0,0,0,0,0,,
80,10AM,10/8/2021,SLUNorth-West,NO RPZ,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,7,0,0,0,0,0,,
134,11AM,10/8/2021,SLUNorth-West,NO RPZ,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,7,0,0,0,0,0,,
188,12PM,10/8/2021,SLUNorth-West,NO RPZ,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,6,0,0,0,0,0,,
242,1PM,10/8/2021,SLUNorth-West,NO RPZ,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,7,0,0,0,0,0,,
296,2PM,10/8/2021,SLUNorth-West,NO RPZ,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,3,0,0,0,0,0,,
350,3PM,10/8/2021,SLUNorth-West,NO RPZ,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,2,0,0,0,0,0,,
404,4PM,10/8/2021,SLUNorth-West,NO RPZ,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,2,0,0,0,0,0,,
458,5PM,10/8/2021,SLUNorth-West,NO RPZ,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,3,0,0,0,0,0,,
30,09AM,10/8/2021,SLUNorth-West,NO RPZ,13262,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,S,6,0,0,0,0,0,,
84,10AM,10/8/2021,SLUNorth-West,NO RPZ,13262,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,S,7,0,0,0,0,0,,
