,Time,Date,Route,Block ID,Element Key,Location,Side of Street,Paid,Load Zone,RPZ,ADA,Rideshare Vehicle,Notes,Picture
75,10AM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,60182,E THOMAS ST BETWEEN HARVARD AVE E AND BROADWAY E,S,5,2,0,0,0,,"https://idax.blob.core.windows.net/images/888ab9af-d509-433a-b6e5-1373e19e7fa2-mobile.jpg,https://idax.blob.core.windows.net/images/2089a82e-3f7b-4c30-a101-35baec4291c0-mobile.jpg,https://idax.blob.core.windows.net/images/cdc1931d-afed-426a-9cef-a610fb1f9f72-mobile.jpg"
90,11AM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,60182,E THOMAS ST BETWEEN HARVARD AVE E AND BROADWAY E,S,3,1,0,0,0,,
105,12PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,60182,E THOMAS ST BETWEEN HARVARD AVE E AND BROADWAY E,S,4,1,0,0,0,,
120,1PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,60182,E THOMAS ST BETWEEN HARVARD AVE E AND BROADWAY E,S,4,2,0,0,0,,
135,2PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,60182,E THOMAS ST BETWEEN HARVARD AVE E AND BROADWAY E,S,5,0,0,1,0,,
150,3PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,60182,E THOMAS ST BETWEEN HARVARD AVE E AND BROADWAY E,S,5,0,0,0,0,,
165,4PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,60182,E THOMAS ST BETWEEN HARVARD AVE E AND BROADWAY E,S,5,1,0,2,0,,
180,5PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,60182,E THOMAS ST BETWEEN HARVARD AVE E AND BROADWAY E,S,5,0,0,0,0,,
15,6PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,60182,E THOMAS ST BETWEEN HARVARD AVE E AND BROADWAY E,S,4,0,0,0,0,,
30,7PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,60182,E THOMAS ST BETWEEN HARVARD AVE E AND BROADWAY E,S,5,0,0,0,0,,
45,8PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,60182,E THOMAS ST BETWEEN HARVARD AVE E AND BROADWAY E,S,5,2,0,0,0,,
60,9PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,60182,E THOMAS ST BETWEEN HARVARD AVE E AND BROADWAY E,S,3,2,0,0,1,,
11,09AM,10/4/2021,CapHillNorth,LOOK FOR RPZ 4,82014,E HARRISON ST BETWEEN BROADWAY E AND 10TH AVE E,S,2,0,0,1,0,,
86,10AM,10/4/2021,CapHillNorth,LOOK FOR RPZ 4,82014,E HARRISON ST BETWEEN BROADWAY E AND 10TH AVE E,S,2,0,0,2,0,,https://idax.blob.core.windows.net/images/d75190a2-dbbc-4d54-b5e1-925b45ae5ab4-mobile.jpg
101,11AM,10/4/2021,CapHillNorth,LOOK FOR RPZ 4,82014,E HARRISON ST BETWEEN BROADWAY E AND 10TH AVE E,S,1,0,0,2,0,,
116,12PM,10/4/2021,CapHillNorth,LOOK FOR RPZ 4,82014,E HARRISON ST BETWEEN BROADWAY E AND 10TH AVE E,S,2,1,0,2,0,1 load zone in 3 minutes pickup area is 24 ft plus moving truck,
131,1PM,10/4/2021,CapHillNorth,LOOK FOR RPZ 4,82014,E HARRISON ST BETWEEN BROADWAY E AND 10TH AVE E,S,2,0,0,2,0,,
146,2PM,10/4/2021,CapHillNorth,LOOK FOR RPZ 4,82014,E HARRISON ST BETWEEN BROADWAY E AND 10TH AVE E,S,1,1,0,3,0,,
161,3PM,10/4/2021,CapHillNorth,LOOK FOR RPZ 4,82014,E HARRISON ST BETWEEN BROADWAY E AND 10TH AVE E,S,2,0,0,2,0,,
176,4PM,10/4/2021,CapHillNorth,LOOK FOR RPZ 4,82014,E HARRISON ST BETWEEN BROADWAY E AND 10TH AVE E,S,1,0,0,2,0,,
191,5PM,10/4/2021,CapHillNorth,LOOK FOR RPZ 4,82014,E HARRISON ST BETWEEN BROADWAY E AND 10TH AVE E,S,1,0,0,3,0,,
26,6PM,10/4/2021,CapHillNorth,LOOK FOR RPZ 4,82014,E HARRISON ST BETWEEN BROADWAY E AND 10TH AVE E,S,1,0,0,2,0,,
41,7PM,10/4/2021,CapHillNorth,LOOK FOR RPZ 4,82014,E HARRISON ST BETWEEN BROADWAY E AND 10TH AVE E,S,2,1,0,3,0,,
56,8PM,10/4/2021,CapHillNorth,LOOK FOR RPZ 4,82014,E HARRISON ST BETWEEN BROADWAY E AND 10TH AVE E,S,2,0,0,2,0,,
71,9PM,10/4/2021,CapHillNorth,LOOK FOR RPZ 4,82014,E HARRISON ST BETWEEN BROADWAY E AND 10TH AVE E,S,3,0,0,2,0,,
13,09AM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82362,E MERCER ST BETWEEN BROADWAY E AND 10TH AVE E,S,3,0,0,0,0,,
88,10AM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82362,E MERCER ST BETWEEN BROADWAY E AND 10TH AVE E,S,1,0,0,0,0,,
103,11AM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82362,E MERCER ST BETWEEN BROADWAY E AND 10TH AVE E,S,2,0,0,0,0,,
118,12PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82362,E MERCER ST BETWEEN BROADWAY E AND 10TH AVE E,S,1,0,0,0,0,,
133,1PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82362,E MERCER ST BETWEEN BROADWAY E AND 10TH AVE E,S,2,0,0,0,0,,
148,2PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82362,E MERCER ST BETWEEN BROADWAY E AND 10TH AVE E,S,2,0,0,0,0,,
163,3PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82362,E MERCER ST BETWEEN BROADWAY E AND 10TH AVE E,S,2,0,0,0,0,,
178,4PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82362,E MERCER ST BETWEEN BROADWAY E AND 10TH AVE E,S,1,0,0,0,0,,
193,5PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82362,E MERCER ST BETWEEN BROADWAY E AND 10TH AVE E,S,2,0,0,0,0,,
28,6PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82362,E MERCER ST BETWEEN BROADWAY E AND 10TH AVE E,S,3,0,0,0,0,,
43,7PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82362,E MERCER ST BETWEEN BROADWAY E AND 10TH AVE E,S,4,0,0,0,0,,
58,8PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82362,E MERCER ST BETWEEN BROADWAY E AND 10TH AVE E,S,3,0,0,0,0,,
73,9PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82362,E MERCER ST BETWEEN BROADWAY E AND 10TH AVE E,S,2,0,0,0,0,,
14,09AM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82654,E ROY ST BETWEEN BROADWAY E E AND 10TH W AVE E,SE,1,0,0,0,0,,
89,10AM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82654,E ROY ST BETWEEN BROADWAY E E AND 10TH W AVE E,SE,1,0,0,1,0,,
104,11AM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82654,E ROY ST BETWEEN BROADWAY E E AND 10TH W AVE E,SE,1,0,0,1,0,,
119,12PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82654,E ROY ST BETWEEN BROADWAY E E AND 10TH W AVE E,SE,0,0,0,1,0,,
134,1PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82654,E ROY ST BETWEEN BROADWAY E E AND 10TH W AVE E,SE,0,0,0,0,0,,
149,2PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82654,E ROY ST BETWEEN BROADWAY E E AND 10TH W AVE E,SE,0,0,0,0,0,,
164,3PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82654,E ROY ST BETWEEN BROADWAY E E AND 10TH W AVE E,SE,1,0,0,0,0,,
179,4PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82654,E ROY ST BETWEEN BROADWAY E E AND 10TH W AVE E,SE,0,0,0,0,0,,
194,5PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82654,E ROY ST BETWEEN BROADWAY E E AND 10TH W AVE E,SE,0,0,0,0,0,,
29,6PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82654,E ROY ST BETWEEN BROADWAY E E AND 10TH W AVE E,SE,1,0,0,0,0,,
44,7PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82654,E ROY ST BETWEEN BROADWAY E E AND 10TH W AVE E,SE,2,0,0,0,0,,
59,8PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82654,E ROY ST BETWEEN BROADWAY E E AND 10TH W AVE E,SE,0,0,0,0,1,,
74,9PM,10/4/2021,CapHillNorth,DON'T LOOK FOR RPZ'S,82654,E ROY ST BETWEEN BROADWAY E E AND 10TH W AVE E,SE,1,0,0,0,1,,
