Id,Run Order,Capture Time,Reserved,Latitude,Latitude Date Modified UTC,Longitude,Longitude Date Modified UTC,Location Icon,Location Icon Date Modified UTC,ID,ID Date Modified UTC,Street,Street Date Modified UTC,Location,Location Date Modified UTC,Side of Street,Side of Street Date Modified UTC,Paid,Paid Date Modified UTC,ADA Placard,ADA Placard Date Modified UTC,"City, Service Vehicle","City, Service Vehicle Date Modified UTC",Double Parked Car,Double Parked Car Date Modified UTC,Double Parked Truck,Double Parked Truck Date Modified UTC,Notes,Notes Date Modified UTC,Complete,Complete Date Modified UTC,Picture,Picture Date Modified UTC
ee0d7c2a,-1,2022-06-29T14:52:16.686Z,,42.3524214609508,,-71.0722991406295,,"{type"":""polyline"";""strokeWeight"":3;""strokeColor"":""#009900"";""path"":""42.35270689670978 -71.07121552818751;42.35213602519189 -71.07338275307154""}""",,1,,Newbury St,,Arlington to Berkeley,,North,,15,2022-06-29T14:52:12.166Z,0,,3,2022-06-29T14:52:10.113Z,1,2022-06-29T14:52:09.711Z,,,,,TRUE,2022-06-29T14:52:16.686Z,,
bf723f55,-1,2022-06-29T14:19:44.269Z,,42.3524729977077,,-71.0735436856124,,"{type"":""polyline"";""strokeWeight"":3;""strokeColor"":""#009900"";""path"":""42.35213998959529 -71.07338275307154;42.35280600582007 -71.07370461815333""}""",,2,,Berkeley St,,Newbury to Commonwealth,,East,,10,2022-06-29T14:19:40.576Z,0,,0,,,,,,,,TRUE,2022-06-29T14:19:44.269Z,,
7a901b6a,-1,2022-06-29T14:20:01.403Z,,42.3524254250597,,-71.0737636267517,,"{type"":""polyline"";""strokeWeight"":3;""strokeColor"":""#009900"";""path"":""42.35276636219471 -71.07391919487452;42.35208448792465 -71.07360805862879""}""",,3,,Berkeley St,,Commonwealth to Newbury,,West,,8,2022-06-29T14:19:58.868Z,0,,2,2022-06-29T14:20:00.267Z,,,,,,,TRUE,2022-06-29T14:20:01.403Z,,
f60978f1,-1,2022-06-29T14:22:46.152Z,,42.3518109426993,,-71.0745736538742,,"{type"":""polyline"";""strokeWeight"":3;""strokeColor"":""#009900"";""path"":""42.35207655911057 -71.07360805862879;42.35154532628795 -71.07553924911952""}""",,4,,Newbury St,,Berkeley to Clarendon ,,North,,18,2022-06-29T14:22:24.501Z,0,,2,2022-06-29T14:22:08Z,,,,,,,TRUE,2022-06-29T14:22:46.152Z,,
e3f1aec2,-1,2022-06-29T14:23:46.371Z,,42.3518823019496,,-71.0757001816604,,"{type"":""polyline"";""strokeWeight"":3;""strokeColor"":""#009900"";""path"":""42.35154532628795 -71.07552852028346;42.35221927761119 -71.07587184303736""}""",,5,,Clarendon St,,Newbury to Commonwealth,,East,,3,2022-06-29T14:23:34.427Z,0,,1,2022-06-29T14:23:33.033Z,,,,,,,TRUE,2022-06-29T14:23:46.371Z,,
33904572,-1,2022-06-29T14:24:21.422Z,,42.3518307643649,,-71.0759040295455,,"{type"":""polyline"";""strokeWeight"":3;""strokeColor"":""#009900"";""path"":""42.35218756241684 -71.0760756909225;42.35147396631298 -71.07573236816859""}""",,6,,Clarendon St,,Commonwealth to Newbury,,West,,4,2022-06-29T14:24:08.661Z,0,,5,2022-06-29T14:24:20.22Z,,,,,,,TRUE,2022-06-29T14:24:21.422Z,,
6ab788b9,-1,2022-06-29T14:29:04.626Z,,42.3512242052013,,-71.07670869225,,"{type"":""polyline"";""strokeWeight"":3;""strokeColor"":""#009900"";""path"":""42.3514898240922 -71.07574309700465;42.350958586310504 -71.07767428749537""}""",,7,,Newbury St,,Clarendon to Dartmouth,,North,,9,2022-06-29T14:28:47.445Z,3,2022-06-29T14:28:35.134Z,3,2022-06-29T14:28:37.39Z,,,,,,,TRUE,2022-06-29T14:29:04.626Z,,
206cecd5,-1,2022-06-29T14:29:25.819Z,,42.3512955651178,,-71.0778620421264,,"{type"":""polyline"";""strokeWeight"":3;""strokeColor"":""#009900"";""path"":""42.350958586310504 -71.07769574516749;42.3516325439251 -71.07802833908534""}""",,8,,Dartmouth St,,Newbury to Commonwealth,,East,,4,2022-06-29T14:29:21.518Z,0,,0,,,,,,,,TRUE,2022-06-29T14:29:25.819Z,,
a16b42b9,-1,2022-06-29T14:29:37.75Z,,42.3512638494143,,-71.0779800593231,,"{type"":""polyline"";""strokeWeight"":3;""strokeColor"":""#009900"";""path"":""42.351608757308774 -71.07814635628199;42.35091894151988 -71.07781376236414""}""",,9,,Dartmouth St,,Commonwealth to Newbury,,West,,1,2022-06-29T14:29:34.461Z,0,,3,2022-06-29T14:29:36.432Z,,,,,,,TRUE,2022-06-29T14:29:37.75Z,,
fd242c33,-1,2022-06-29T14:32:07.834Z,,42.3506533202165,,-71.0788330017898,,"{type"":""polyline"";""strokeWeight"":3;""strokeColor"":""#009900"";""path"":""42.35091894151988 -71.0778244912002;42.350387698913146 -71.0798415123794""}""",,10,,Newbury St,,Dartmouth to Exeter,,North,,13,2022-06-29T14:32:01.93Z,1,2022-06-29T14:31:20.352Z,0,,,,,,,,TRUE,2022-06-29T14:32:07.834Z,,
4cf14ed3,-1,2022-06-29T14:35:45.616Z,,42.3500427845613,,-71.0810538708541,,"{type"":""polyline"";""strokeWeight"":3;""strokeColor"":""#009900"";""path"":""42.35034012472933 -71.07998098724818;42.3497454443933 -71.08212675446009""}""",,11,,Newbury St,,Exeter to Fairfield,,North,,10,2022-06-29T14:35:35.324Z,1,2022-06-29T14:33:46.045Z,7,2022-06-29T14:35:41.716Z,,,,,,,TRUE,2022-06-29T14:35:45.616Z,,
7533d6df,-1,2022-06-29T14:36:14.312Z,,42.3500863941726,,-71.0823091446731,,"{type"":""polyline"";""strokeWeight"":3;""strokeColor"":""#009900"";""path"":""42.34973751528415 -71.08212675446009;42.35043527306098 -71.08249153488612""}""",,12,,Fairfield St,,Newbury to Commonwealth,,East,,0,,0,,0,,,,,,,,TRUE,2022-06-29T14:36:14.312Z,,
72447785,-1,2022-06-29T14:36:16.629Z,,42.3500586424146,,-71.0824432551238,,"{type"":""polyline"";""strokeWeight"":3;""strokeColor"":""#009900"";""path"":""42.35041148599156 -71.08260955208277;42.34970579883755 -71.08227695816493""}""",,13,,Fairfield St,,Commonwealth to Newbury,,West,,0,,0,,0,,,,,,,,TRUE,2022-06-29T14:36:16.629Z,,
eb7aaab8,-1,2022-06-29T14:39:46.749Z,,42.3499397065889,,-71.0810055910919,,"{type"":""polyline"";""strokeWeight"":3;""strokeColor"":""#009900"";""path"":""42.34965029501744 -71.08208383911585;42.35022911816036 -71.07992734306788""}""",,14,,Newbury St,,Fairfield to Exeter,,South,,15,2022-06-29T14:39:41.362Z,4,2022-06-29T14:38:33.625Z,1,2022-06-29T14:39:12.239Z,,,,,,,TRUE,2022-06-29T14:39:46.749Z,,
852eea3e,-1,2022-06-29T14:42:15.069Z,,42.3505581721809,,-71.0787900864456,,"{type"":""polyline"";""strokeWeight"":3;""strokeColor"":""#009900"";""path"":""42.35028462146936 -71.07979859703516;42.35083172289251 -71.07778157585597""}""",,15,,Newbury St,,Exeter to Dartmouth,,South,,12,2022-06-29T14:42:07.594Z,1,2022-06-29T14:41:51.57Z,5,2022-06-29T14:42:03.11Z,,,1,2022-06-29T14:42:00.257Z,,,TRUE,2022-06-29T14:42:15.069Z,,
d2676f22,-1,2022-06-29T14:45:02.761Z,,42.3511211291623,,-71.0766711413238,,"{type"":""polyline"";""strokeWeight"":3;""strokeColor"":""#009900"";""path"":""42.35086343877102 -71.07764210098719;42.351378819553666 -71.07570018166041""}""",,16,,Newbury St,,Dartmouth to Clarendon,,South,,18,2022-06-29T14:44:58.742Z,2,2022-06-29T14:44:45.723Z,6,2022-06-29T14:44:37.78Z,,,,,,,TRUE,2022-06-29T14:45:02.761Z,,
a5cc73ba,-1,2022-06-29T14:48:25.435Z,,42.3517197608966,,-71.0745092808578,,"{type"":""polyline"";""strokeWeight"":3;""strokeColor"":""#009900"";""path"":""42.35145810852976 -71.07547487610316;42.35198141326347 -71.07354368561244""}""",,17,,Newbury St,,Clarendon to Berkeley,,South,,17,2022-06-29T14:48:19.917Z,2,2022-06-29T14:48:22.939Z,3,2022-06-29T14:47:31.86Z,1,2022-06-29T14:47:39.903Z,,,,,TRUE,2022-06-29T14:48:25.435Z,,
c7415cba,-1,2022-06-29T14:53:26.634Z,,42.3523302800528,,-71.0722454964492,,"{type"":""polyline"";""strokeWeight"":3;""strokeColor"":""#009900"";""path"":""42.35205277266228 -71.07332910889124;42.35260778744322 -71.07116188400721""}""",,18,,Newbury St,,Berkeley to Arlington,,South,,22,2022-06-29T14:53:25.556Z,2,2022-06-29T14:52:49.402Z,3,2022-06-29T14:51:19.127Z,,,,,,,TRUE,2022-06-29T14:53:26.634Z,,
