"Id","Run Order","Capture Time","Reserved","Latitude","Latitude Date Modified UTC","Longitude","Longitude Date Modified UTC","Location Icon","Location Icon Date Modified UTC","ID","ID Date Modified UTC","Street","Street Date Modified UTC","Location","Location Date Modified UTC","Side of Street","Side of Street Date Modified UTC","Paid","Paid Date Modified UTC","ADA Placard","ADA Placard Date Modified UTC","City, Service Vehicle","City, Service Vehicle Date Modified UTC","Double Parked Car","Double Parked Car Date Modified UTC","Double Parked Truck","Double Parked Truck Date Modified UTC","Notes","Notes Date Modified UTC","Data Entry Complete","Data Entry Complete Date Modified UTC","Picture","Picture Date Modified UTC"
"ad82a316","-1","2022-06-29T22:03:58.91Z","","42.3516345468398","","-71.0719237102588","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35196359495938 -71.07082400456271;42.35183276914731 -71.07106540337405;42.351305498720244 -71.07302341595492"}","","1","","Boylston St","","Arlington to Berkeley","","North","","7","2022-06-29T22:03:50.786Z","0","","1","2022-06-29T22:02:29.455Z","","","","","","","true","2022-06-29T22:03:58.91Z","",""
"f6cf8282","-1","2022-06-29T22:05:10.778Z","","42.3516741909706","","-71.073211170586","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35130748094817 -71.07303950920901;42.35204090099304 -71.07338283196292"}","","2","","Berkeley St","","Boylston to Newbury","","East","","6","2022-06-29T22:05:04.807Z","0","","0","","","","","","","","true","2022-06-29T22:05:10.778Z","",""
"72d89a7e","-1","2022-06-29T22:05:25.994Z","","42.3516484221874","","-71.0733291877826","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35200918570869 -71.07350084915957;42.35128765866602 -71.07315752640567"}","","3","","Berkeley","","Newbury to Boylston","","West","","0","","0","","0","","","","","","","","true","2022-06-29T22:05:25.994Z","",""
"46bd2fc8","-1","2022-06-29T22:09:28.904Z","","42.3510007564255","","-71.0741401831866","","{"strokeWeight":3;"strokeColor":"#009900";"type":"polyline";"path":"42.351275856705676 -71.07313725178986;42.35100032600609 -71.07414844458847;42.35072479409891 -71.07513817971497"}","","4","","Boylston St","","Berkeley to Clarendon","","North","","18","2022-06-29T22:09:25.404Z","2","2022-06-29T22:09:02.452Z","0","","1","2022-06-29T22:09:21.304Z","","","two cars parked in spots that blocked parking lot exit","2022-06-29T22:08:03.688Z","true","2022-06-29T22:09:28.904Z","",""
"bc43fc2a","-1","2022-06-29T22:10:33.659Z","","42.3510874522191","","-71.0753462089618","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35072470324313 -71.07515845433078;42.35145020119512 -71.07553396359286"}","","5","","Clarendon St","","Boylston to Newbury","","East","","10","2022-06-29T22:10:31.858Z","0","","0","","","","","","","","true","2022-06-29T22:10:33.659Z","",""
"e1cc0c9c","-1","2022-06-29T22:12:14.546Z","","42.3510537542063","","-71.0754722727855","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.351418485612676 -71.07565734520755;42.35068902279993 -71.07528720036349"}","","6","","Clarendon St","","Newbury to Boylston","","West","","10","2022-06-29T22:12:07.929Z","0","","0","","","","","","","","true","2022-06-29T22:12:14.546Z","",""
"f9a53a9c","-1","2022-06-29T22:14:31.137Z","","42.3504174537489","","-71.0763091219982","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35068505830501 -71.07529792919955;42.350149849192825 -71.07732031479678"}","","7","","Boylston St","","Clarendon to Dartmouth","","North","","11","2022-06-29T22:14:28.199Z","1","2022-06-29T22:13:35.549Z","1","2022-06-29T22:14:12.584Z","4","2022-06-29T22:13:39.982Z","","","","","true","2022-06-29T22:14:31.137Z","",""
"b9f765d6","-1","2022-06-29T22:15:46.438Z","","42.3505106192674","","-71.0774973405918","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35015381372151 -71.07732567921481;42.35086742481336 -71.07766900196872"}","","8","","Dartmouth St","","Boylston to Newbury","","East","","1","2022-06-29T22:15:28.364Z","1","2022-06-29T22:15:30.033Z","0","","","","","","","","true","2022-06-29T22:15:46.438Z","",""
"0283e001","-1","2022-06-29T22:17:37.205Z","","42.3504907967785","","-71.0775778068622","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.3508396734223 -71.07775483265719;42.35014192013469 -71.07740078106723"}","","9","","Dartmouth St","","Newbury to Boylston","","West","","7","2022-06-29T22:17:31.137Z","2","2022-06-29T22:17:08.501Z","0","","","","","","handicapped car parked over spot and is into crosswalk","2022-06-29T22:16:38.187Z","true","2022-06-29T22:17:37.205Z","",""
"81e32deb","-1","2022-06-29T22:19:52.947Z","","42.3498465613672","","-71.078446842583","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35013002654559 -71.07741150990329;42.34956309618879 -71.07948217526278"}","","10","","Boylston St","","Dartmouth to Exeter","","North","","17","2022-06-29T22:19:49.625Z","0","","1","2022-06-29T22:17:51.705Z","2","2022-06-29T22:19:03.243Z","","","","","true","2022-06-29T22:19:52.947Z","",""
