"Id","Run Order","Capture Time","Reserved","Latitude","Latitude Date Modified UTC","Longitude","Longitude Date Modified UTC","Location Icon","Location Icon Date Modified UTC","ID","ID Date Modified UTC","Street","Street Date Modified UTC","Location","Location Date Modified UTC","Side of Street","Side of Street Date Modified UTC","Paid","Paid Date Modified UTC","ADA Placard","ADA Placard Date Modified UTC","City, Service Vehicle","City, Service Vehicle Date Modified UTC","Double Parked Car","Double Parked Car Date Modified UTC","Double Parked Truck","Double Parked Truck Date Modified UTC","Notes","Notes Date Modified UTC","Data Entry Complete","Data Entry Complete Date Modified UTC","Picture","Picture Date Modified UTC"
"ad82a316","-1","2022-06-29T16:06:55.808Z","","42.3516345468398","","-71.0719237102588","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35196359495938 -71.07082400456271;42.35183276914731 -71.07106540337405;42.351305498720244 -71.07302341595492"}","","1","","Boylston St","","Arlington to Berkeley","","North","","14","2022-06-29T16:06:30.309Z","0","","0","","2","2022-06-29T16:06:04.494Z","1","2022-06-29T16:05:51.569Z","","","true","2022-06-29T16:06:55.808Z","",""
"f6cf8282","-1","2022-06-29T16:08:14.844Z","","42.3516741909706","","-71.073211170586","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35130748094817 -71.07303950920901;42.35204090099304 -71.07338283196292"}","","2","","Berkeley St","","Boylston to Newbury","","East","","7","2022-06-29T16:08:07.171Z","0","","0","","","","","","","","true","2022-06-29T16:08:14.844Z","",""
"72d89a7e","-1","2022-06-29T16:08:53.331Z","","42.3516484221874","","-71.0733291877826","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35200918570869 -71.07350084915957;42.35128765866602 -71.07315752640567"}","","3","","Berkeley","","Newbury to Boylston","","West","","0","","0","","0","","","","","","","","true","2022-06-29T16:08:53.331Z","",""
"46bd2fc8","-1","2022-06-29T16:11:51.671Z","","42.3510007564255","","-71.0741401831866","","{"strokeWeight":3;"strokeColor":"#009900";"type":"polyline";"path":"42.351275856705676 -71.07313725178986;42.35100032600609 -71.07414844458847;42.35072479409891 -71.07513817971497"}","","4","","Boylston St","","Berkeley to Clarendon","","North","","21","2022-06-29T16:11:48.427Z","0","","0","","1","2022-06-29T16:10:48.865Z","","","","","true","2022-06-29T16:11:51.671Z","",""
"bc43fc2a","-1","2022-06-29T16:13:18.541Z","","42.3510874522191","","-71.0753462089618","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35072470324313 -71.07515845433078;42.35145020119512 -71.07553396359286"}","","5","","Clarendon St","","Boylston to Newbury","","East","","6","2022-06-29T16:13:16.682Z","2","2022-06-29T16:12:48.924Z","0","","","","","","","","true","2022-06-29T16:13:18.541Z","",""
"e1cc0c9c","-1","2022-06-29T16:15:39.262Z","","42.3510537542063","","-71.0754722727855","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.351418485612676 -71.07565734520755;42.35068902279993 -71.07528720036349"}","","6","","Clarendon St","","Newbury to Boylston","","West","","9","2022-06-29T16:15:11.376Z","1","2022-06-29T16:15:03.325Z","0","","2","2022-06-29T16:14:47.666Z","","","both doible parked cars were parked illegally. one at a cross walk and one boocking the piblic alley. ","2022-06-29T16:15:37.212Z","true","2022-06-29T16:15:39.262Z","",""
"f9a53a9c","-1","2022-06-29T16:18:38.934Z","","42.3504174537489","","-71.0763091219982","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35068505830501 -71.07529792919955;42.350149849192825 -71.07732031479678"}","","7","","Boylston St","","Clarendon to Dartmouth","","North","","8","2022-06-29T16:18:03.229Z","1","2022-06-29T16:17:04.23Z","2","2022-06-29T16:17:27.476Z","3","2022-06-29T16:18:05.849Z","3","2022-06-29T16:18:25.901Z","","","true","2022-06-29T16:18:38.934Z","",""
"b9f765d6","-1","2022-06-29T16:19:53.417Z","","42.3505106192674","","-71.0774973405918","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35015381372151 -71.07732567921481;42.35086742481336 -71.07766900196872"}","","8","","Dartmouth St","","Boylston to Newbury","","East","","0","","0","","0","","","","","","","","true","2022-06-29T16:19:53.417Z","",""
"0283e001","-1","2022-06-29T16:22:44.938Z","","42.3504907967785","","-71.0775778068622","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.3508396734223 -71.07775483265719;42.35014192013469 -71.07740078106723"}","","9","","Dartmouth St","","Newbury to Boylston","","West","","7","2022-06-29T16:22:37.848Z","1","2022-06-29T16:22:39.278Z","0","","","","","","","","true","2022-06-29T16:22:44.938Z","",""
"81e32deb","-1","2022-06-29T16:26:07.409Z","","42.3498465613672","","-71.078446842583","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35013002654559 -71.07741150990329;42.34956309618879 -71.07948217526278"}","","10","","Boylston St","","Dartmouth to Exeter","","North","","12","2022-06-29T16:25:55.531Z","1","2022-06-29T16:25:57.482Z","1","2022-06-29T16:24:13.858Z","","","1","2022-06-29T16:25:49.989Z","","","true","2022-06-29T16:26:07.409Z","",""
"b5a13ce7","-1","2022-06-29T16:28:11.39Z","","42.3499258518686","","-71.0796638912571","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.34956309618879 -71.07949491208919;42.350288607548386 -71.07983287042507"}","","11","","Exeter St","","Boylston to Newbury","","East","","5","2022-06-29T16:27:00.782Z","0","","0","","","","","","","","true","2022-06-29T16:28:11.39Z","",""
"9e7c6449","-1","2022-06-29T16:29:41.112Z","","42.3499099937176","","-71.0797389931095","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.350268784944916 -71.07991333669551;42.34955120249019 -71.07956464952358"}","","12","","Exeter St","","Newbury to Boylston","","West","","6","2022-06-29T16:30:42.441Z","1","2022-06-29T16:28:29.424Z","0","","1","2022-06-29T16:29:32.434Z","","","diiblr parked car parked at hydrant ","2022-06-29T16:29:50.717Z","true","2022-06-29T16:30:43.159Z","https://idax.blob.core.windows.net/images/eba6836c-4a68-4c61-ba50-5601300dae98-mobile.jpg","2022-06-29T16:29:41.112Z"
"21f98725","-1","2022-06-29T16:35:41.975Z","","42.3497514121621","","-71.0784086174382","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.349471911108594 -71.07943590349086;42.350030913215704 -71.07738133138545"}","","13","","Boylston St","","Exeter to Dartmouth","","South","","2","2022-06-29T16:35:29.201Z","0","","0","","","","","","","","true","2022-06-29T16:35:41.975Z","",""
